ID;Evidence stream;Source type;Title;Primary use;Metric use allowed;Protocol status;Local status;Canonical link
D01;Dataset;Official dataset paper;PhysioBank PhysioToolkit and PhysioNet components of a new research resource for complex physiologic signals;Dataset citation and provenance;No performance comparison;Verified;Local PDF;https://doi.org/10.1161/01.CIR.101.23.e215
D02;Dataset and task;Primary conference paper;Application of Machine Learning to Epileptic Seizure Detection;CHB-MIT detection task and labels;Historical baseline context only;Verified;Local PDF;https://physionet.org/files/chbmit/1.0.0/shoeb-icml-2010.pdf
D03;Clinical evaluation;Primary journal paper;Epileptic seizure detection using CHB-MIT dataset the overlooked perspectives;Continuous evaluation event metrics leakage and cross-subject caveats;Yes only with protocol disclosure;Verified;Local PDF;https://doi.org/10.1098/rsos.230601
D04;Literature review;Peer-reviewed review;Automated Epileptic Seizure Detection in Pediatric Subjects of CHB-MIT EEG Database;CHB-MIT literature map;No direct numerical ranking;Verified;Local PDF;https://pmc.ncbi.nlm.nih.gov/articles/PMC8537151/
D05;Literature review;Peer-reviewed review;A review of epilepsy detection and prediction methods based on EEG signal processing and deep learning;Terminology and method landscape;No direct numerical ranking;Verified;Local PDF;https://doi.org/10.3389/fnins.2024.1468967
A02;Detection algorithm;Primary journal paper;Single-channel seizure detection with clinical confirmation of seizure locations using CHB-MIT dataset;Channel reduction and event-level reporting;Yes only as patient-specific context;Verified;Local PDF;https://doi.org/10.3389/fneur.2024.1389731
A04;Detection algorithm;Primary journal paper;Epileptic seizure detection from EEG signals based on 1D CNN-LSTM deep learning model using DWT;Feature-engineered accuracy comparator;Yes with non-equivalent protocol flag;Verified;Local PDF;https://doi.org/10.1038/s41598-025-18479-9
A05;Detection algorithm;Primary journal paper;A scheme combining feature fusion and hybrid deep learning models for epileptic seizure detection and prediction;Feature fusion and recurrent comparator;Yes with non-equivalent protocol flag;Verified;Local PDF;https://doi.org/10.1186/s12911-024-02845-0
A13;Detection algorithm;Primary journal paper;LMPSeizNet lightweight multiscale pyramid convolutional neural network;Compact 1D-CNN topology and parameter comparator;Only after protocol column is disclosed;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.3390/math12233648
A16;Detection algorithm;Primary journal paper;PSD-LW-DCN a generalizable PSD lightweight deep CNN for seizure detection;Patient-held-out compact-CNN comparator;Yes as cross-subject PSD context;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.1038/s41598-026-44536-y
H01;Hardware co-design;Primary IEEE TBioCAS paper;Seizure Detection and Prediction by Parallel Memristive Convolutional Neural Networks;Seizure-specific hardware co-design;Yes only for declared system boundary;Verified;Local PDF;https://doi.org/10.1109/TBCAS.2022.3185584
H02;Hardware deployment;Primary IEEE TBioCAS paper;Reducing False Alarms in Wearable Seizure Detection With EEGformer;FAR delay and edge-deployment reporting;Yes only with task and channel disclosure;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.1109/TBCAS.2024.3357509
H03;Hardware deployment;Primary IEEE TBioCAS paper;Wearable Epilepsy Seizure Detection on FPGA With Spiking Neural Networks;Closest seizure FPGA deployment comparator;Yes only with model and platform disclosure;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.1109/TBCAS.2025.3575327
H04;Hardware deployment;Primary journal paper;Epileptic Seizure Detection on an Ultra-Low-Power Embedded RISC-V Processor Using a CNN;Accuracy latency and energy reporting template;Yes only with measurement-boundary disclosure;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.3390/bios11070203
H05;Accelerator method;Primary journal paper;1D CNN FPGA accelerator using high-level synthesis;Conv1D HLS dataflow and memory design;Not an EEG performance comparator;Verified;Local PDF;https://bura.brunel.ac.uk/bitstream/2438/25121/3/FullText.pdf
M01;Architecture method;Primary journal paper;EEGNet a compact convolutional neural network for EEG-based brain-computer interfaces;Depthwise-separable Conv1D rationale;Not a seizure accuracy comparator;Verified;Local PDF;https://arxiv.org/abs/1611.08024
M03;Quantization method;Primary conference paper;Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference;Integer arithmetic contract;Not a seizure accuracy comparator;Verified;Local PDF;https://openaccess.thecvf.com/content_cvpr_2018/html/Jacob_Quantization_and_Training_CVPR_2018_paper.html
M04;Verification tool;Official AMD documentation;Vitis HLS C RTL Co-Simulation guidance;C RTL verification procedure;Not a research performance comparator;Official documentation;Not applicable;https://docs.amd.com/r/en-US/ug1399-vitis-hls/Automatically-Verifying-the-RTL
M05;Benchmark methodology;Primary benchmark paper;MLPerf Tiny Benchmark;Accuracy latency and energy measurement principles;Not a seizure accuracy comparator;Protocol audit pending;Primary DOI verified PDF pending;https://arxiv.org/abs/2106.07597
T01;Target-journal framing;Primary IEEE TBioCAS review;From Seizure Detection to Smart and Fully Embedded Seizure Prediction Engine A Review;Embedded seizure-system problem framing;No numerical ranking;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.1109/TBCAS.2020.3018465
T02;Target-journal framing;Primary IEEE TBioCAS review;A Review of Algorithm and Hardware Design for AI-Based Biomedical Applications;Biomedical AI co-design framing;No numerical ranking;Protocol audit pending;Primary DOI verified PDF pending;https://doi.org/10.1109/TBCAS.2020.2974154
